competition,market_family,bookmaker,correlation_group,two_sided_line_count,target_snapshot_count,timestamped_snapshot_count,timestamp_complete_rate,eligible,two_sided_lines
Championship,HOME_TEAM_TOTAL_CORNERS,borgata,MGM,3,20,20,1.0,True,4.5;5.5;6.5
Championship,AWAY_TEAM_TOTAL_CORNERS,borgata,MGM,3,20,20,1.0,True,2.5;3.5;4.5
Championship,TOTAL_CORNERS,draftkings,DRAFTKINGS,0,0,0,1.0,False,
Championship,HOME_TEAM_TOTAL_CORNERS,draftkings,DRAFTKINGS,0,0,0,1.0,False,
Championship,AWAY_TEAM_TOTAL_CORNERS,draftkings,DRAFTKINGS,0,0,0,1.0,False,
Championship,TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
Championship,HOME_TEAM_TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
Championship,AWAY_TEAM_TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
Championship,TOTAL_CORNERS,fourwinds,PARX_RIVERS_RETAIL,10,1342,1342,1.0,True,5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5;14.5
Championship,HOME_TEAM_TOTAL_CORNERS,fourwinds,PARX_RIVERS_RETAIL,9,623,623,1.0,True,2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5
Championship,AWAY_TEAM_TOTAL_CORNERS,fourwinds,PARX_RIVERS_RETAIL,7,434,434,1.0,True,1.5;2.5;3.5;4.5;5.5;6.5;7.5
Championship,TOTAL_CORNERS,hardrockbet,HARDROCK,0,0,0,1.0,False,
Championship,HOME_TEAM_TOTAL_CORNERS,hardrockbet,HARDROCK,0,0,0,1.0,False,
Championship,AWAY_TEAM_TOTAL_CORNERS,hardrockbet,HARDROCK,0,0,0,1.0,False,
LaLiga,TOTAL_CORNERS,ballybet,PARX_RIVERS_RETAIL,12,5703,5703,1.0,True,3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5;14.5
LaLiga,HOME_TEAM_TOTAL_CORNERS,ballybet,PARX_RIVERS_RETAIL,9,4675,4675,1.0,True,1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5
